_id,count,dayWeek,days,hours
"{'day': 21, 'hour': 8}",51.0,7.0,21,8
"{'day': 21, 'hour': 9}",96.0,7.0,21,9
"{'day': 21, 'hour': 10}",91.0,7.0,21,10
"{'day': 21, 'hour': 11}",115.0,7.0,21,11
"{'day': 21, 'hour': 12}",99.0,7.0,21,12
"{'day': 21, 'hour': 13}",108.0,7.0,21,13
"{'day': 21, 'hour': 14}",119.0,7.0,21,14
"{'day': 21, 'hour': 15}",111.0,7.0,21,15
"{'day': 21, 'hour': 16}",107.0,7.0,21,16
"{'day': 21, 'hour': 17}",107.0,7.0,21,17
"{'day': 21, 'hour': 18}",145.0,7.0,21,18
"{'day': 21, 'hour': 19}",141.0,7.0,21,19
"{'day': 21, 'hour': 20}",97.0,7.0,21,20
"{'day': 21, 'hour': 21}",89.0,7.0,21,21
"{'day': 21, 'hour': 22}",90.0,7.0,21,22
"{'day': 21, 'hour': 23}",87.0,7.0,21,23
"{'day': 22, 'hour': 0}",65.0,1.0,22,0
"{'day': 22, 'hour': 1}",41.0,1.0,22,1
"{'day': 22, 'hour': 2}",37.0,1.0,22,2
"{'day': 22, 'hour': 3}",15.0,1.0,22,3
"{'day': 22, 'hour': 4}",7.0,1.0,22,4
"{'day': 22, 'hour': 5}",11.0,1.0,22,5
"{'day': 22, 'hour': 6}",16.0,1.0,22,6
"{'day': 22, 'hour': 7}",24.0,1.0,22,7
"{'day': 22, 'hour': 8}",49.0,1.0,22,8
"{'day': 22, 'hour': 9}",81.0,1.0,22,9
"{'day': 22, 'hour': 10}",92.0,1.0,22,10
"{'day': 22, 'hour': 11}",121.0,1.0,22,11
"{'day': 22, 'hour': 12}",123.0,1.0,22,12
"{'day': 22, 'hour': 13}",132.0,1.0,22,13
"{'day': 22, 'hour': 14}",135.0,1.0,22,14
"{'day': 22, 'hour': 15}",147.0,1.0,22,15
"{'day': 22, 'hour': 16}",19.0,1.0,22,16
"{'day': 22, 'hour': 17}",101.0,1.0,22,17
"{'day': 22, 'hour': 18}",142.0,1.0,22,18
"{'day': 22, 'hour': 19}",102.0,1.0,22,19
"{'day': 22, 'hour': 20}",94.0,1.0,22,20
"{'day': 22, 'hour': 21}",85.0,1.0,22,21
"{'day': 22, 'hour': 22}",71.0,1.0,22,22
"{'day': 22, 'hour': 23}",51.0,1.0,22,23
"{'day': 23, 'hour': 0}",28.0,2.0,23,0
"{'day': 23, 'hour': 1}",16.0,2.0,23,1
